gsid,formal_name,district,station_id,year,month,rainfall_sum
194,Butwal,Rupandehi,703,2010,8,987.5
194,Butwal,Rupandehi,703,2010,9,405.6
194,Butwal,Rupandehi,703,2010,10,128.2
194,Butwal,Rupandehi,703,2010,11,0
194,Butwal,Rupandehi,703,2010,12,0
194,Butwal,Rupandehi,703,2011,1,8.6
194,Butwal,Rupandehi,703,2011,2,24.2
194,Butwal,Rupandehi,703,2011,3,4.6
194,Butwal,Rupandehi,703,2011,4,91.2
194,Butwal,Rupandehi,703,2011,5,142.3
194,Butwal,Rupandehi,703,2011,6,465.3
194,Butwal,Rupandehi,703,2011,7,624.9
194,Butwal,Rupandehi,703,2011,8,516.5
194,Butwal,Rupandehi,703,2011,9,126.4
194,Butwal,Rupandehi,703,2011,10,0
194,Butwal,Rupandehi,703,2011,11,56.8
194,Butwal,Rupandehi,703,2011,12,0
194,Butwal,Rupandehi,703,2012,1,0
194,Butwal,Rupandehi,703,2012,2,0
194,Butwal,Rupandehi,703,2012,3,0
194,Butwal,Rupandehi,703,2012,4,67.8
194,Butwal,Rupandehi,703,2012,5,17.8
194,Butwal,Rupandehi,703,2012,6,69.8
194,Butwal,Rupandehi,703,2012,7,475.7
194,Butwal,Rupandehi,703,2012,8,401.3
194,Butwal,Rupandehi,703,2012,9,191.5
194,Butwal,Rupandehi,703,2012,10,0
194,Butwal,Rupandehi,703,2012,11,0
194,Butwal,Rupandehi,703,2012,12,0
194,Butwal,Rupandehi,703,2013,1,1
194,Butwal,Rupandehi,703,2013,2,88.6
194,Butwal,Rupandehi,703,2013,3,119.9
194,Butwal,Rupandehi,703,2013,4,103
194,Butwal,Rupandehi,703,2013,5,100.4
194,Butwal,Rupandehi,703,2013,6,662.3
194,Butwal,Rupandehi,703,2013,7,535.1
194,Butwal,Rupandehi,703,2013,8,329.4
194,Butwal,Rupandehi,703,2013,9,82.5
194,Butwal,Rupandehi,703,2013,10,12.6
194,Butwal,Rupandehi,703,2013,11,0
194,Butwal,Rupandehi,703,2013,12,0
194,Butwal,Rupandehi,703,2014,1,22.9
194,Butwal,Rupandehi,703,2014,2,56.4
194,Butwal,Rupandehi,703,2014,3,0
194,Butwal,Rupandehi,703,2014,4,0
194,Butwal,Rupandehi,703,2014,5,131.4
194,Butwal,Rupandehi,703,2014,6,497.1
194,Butwal,Rupandehi,703,2014,7,778
194,Butwal,Rupandehi,703,2014,8,891.3
194,Butwal,Rupandehi,703,2014,9,218.2
194,Butwal,Rupandehi,703,2014,10,113
194,Butwal,Rupandehi,703,2014,11,0
194,Butwal,Rupandehi,703,2014,12,17.8
194,Butwal,Rupandehi,703,2015,1,54.5
194,Butwal,Rupandehi,703,2015,2,12.2
194,Butwal,Rupandehi,703,2015,3,180
194,Butwal,Rupandehi,703,2015,4,107.8
194,Butwal,Rupandehi,703,2015,5,42.2
194,Butwal,Rupandehi,703,2015,6,271.7
194,Butwal,Rupandehi,703,2015,7,569.2
194,Butwal,Rupandehi,703,2015,8,854.2
194,Butwal,Rupandehi,703,2015,9,291.6
194,Butwal,Rupandehi,703,2015,10,38.8
194,Butwal,Rupandehi,703,2015,11,0
194,Butwal,Rupandehi,703,2015,12,0
194,Butwal,Rupandehi,703,2016,1,8.8
194,Butwal,Rupandehi,703,2016,2,7.2
194,Butwal,Rupandehi,703,2016,3,6.9
194,Butwal,Rupandehi,703,2016,4,4.6
194,Butwal,Rupandehi,703,2016,5,99.4
194,Butwal,Rupandehi,703,2016,6,277.8
194,Butwal,Rupandehi,703,2016,7,1476.2
194,Butwal,Rupandehi,703,2016,8,213
194,Butwal,Rupandehi,703,2016,9,1098.6
194,Butwal,Rupandehi,703,2016,10,175.6
194,Butwal,Rupandehi,703,2016,11,0
194,Butwal,Rupandehi,703,2016,12,0
194,Butwal,Rupandehi,703,2017,1,30.4
194,Butwal,Rupandehi,703,2017,2,0
194,Butwal,Rupandehi,703,2017,3,37.6
194,Butwal,Rupandehi,703,2017,4,18.2
194,Butwal,Rupandehi,703,2017,5,133.4
194,Butwal,Rupandehi,703,2017,6,295.2
194,Butwal,Rupandehi,703,2017,7,948.3
194,Butwal,Rupandehi,703,2017,8,1512
194,Butwal,Rupandehi,703,2017,9,520.4
194,Butwal,Rupandehi,703,2017,10,23.6
194,Butwal,Rupandehi,703,2017,11,6.4
194,Butwal,Rupandehi,703,2017,12,0
8,Dadeldhura,Dadeldhura,104,1990,1,0
8,Dadeldhura,Dadeldhura,104,1990,2,143.3
8,Dadeldhura,Dadeldhura,104,1990,3,131
8,Dadeldhura,Dadeldhura,104,1990,4,31.7
8,Dadeldhura,Dadeldhura,104,1990,5,174.1
8,Dadeldhura,Dadeldhura,104,1990,6,61.7
8,Dadeldhura,Dadeldhura,104,1990,7,512.3
8,Dadeldhura,Dadeldhura,104,1990,8,365.2
8,Dadeldhura,Dadeldhura,104,1990,9,120
8,Dadeldhura,Dadeldhura,104,1990,10,23.2
8,Dadeldhura,Dadeldhura,104,1990,11,1.3
8,Dadeldhura,Dadeldhura,104,1990,12,77.2
8,Dadeldhura,Dadeldhura,104,1991,1,29.3
8,Dadeldhura,Dadeldhura,104,1991,2,77.9
8,Dadeldhura,Dadeldhura,104,1991,3,74.3
8,Dadeldhura,Dadeldhura,104,1991,4,80.5
